Cebir I 1. Ders - Ondokuz Mayıs Üniversitesi - Prof. Dr. Şenol EREN
https://www.youtube.com/watch?v=cZE98HkEbJI&list=PLub7HBm_2dVArrlRwX0Kpd94UlHAdE6yk

Ders notları
https://acikders.ankara.edu.tr/course/view.php?id=1011

Time		Subtitle		Translation
00:19:57		 ve yine baş harfleriyle Eke a ile gösterilir şimdi Sevgili arkadaşlarım   		and it is denoted with the initials Eke a? Now,  my  dear  friends,  let 
00:20:03		 bununla dediklerimizi bir örnek üzerinde açıklayalım   		's explain what we say with an example. 
00:20:08		 a kümesi işte a b c d e f g'lerden oluşuyor B kümesi de onun bir alt kümesi   		Set a consists of a b c d e f g's and set  B  is  a  subset  of  it.  The 
00:20:14		 tarif edilen bağıntı şu; x küçük eşit diye Gerek ve yeter şart x eşit y veya x   		described relation is as follows;  x is less than or  equal  to  x  is  a  necessary  and  sufficient  condition  that  x  is  equal  to  y  or  x 
00:20:21		 oky Burada hemen şunu söyleyelim; bakın Oklar şunu gösteriyor işte F virgül B   		oky Let's say this right here;  Look, the arrows  show  this,  like  F  comma  B 
00:20:29		 virgül a f virgül a gibi ama B'den F'ye gidiş yok okun anlamı O şimdi sevgili   		comma a f comma a but there  is  no  going  from  B  to  F,  the  meaning  of  the  arrow  is  now,  dear 
00:20:36		 arkadaşlar bu baktığınızda onu bir daha söylemeyeceğim abi a ve b kümeleri birer   		friends, when you look at it, I  will  not  say  it  again,  a  and  b  sets  are 
00:20:43		 KSK bu tarif edilen şeye göre şimdi mak a d bakın a kümesine baktığınızda   		KSK, according to what is described, now mak  a  d  look.   When  you  look  at  the  set  a,  they  are 
00:20:52		 hepsi birbiriyle alakalı ve en yüksek D var Dolayısıyla dmak a Mina Bakın iki   		all related to each other and there  is  the  highest  D.  Therefore,  dmak  a  Mina.  Look,  there 
00:20:59		 tane eleman var fvg Onlar Mina yine A'nın en büyük elemanı D ama A'nın en   		are two elements, fvg. They are Mina. Again, the largest  element  of  A  is  D,  but  A 
00:21:08		 küçük elemanı yok buraya dikkat A'nın en küçük elemanı niye yok derseniz en küçük   		does not have the smallest element. Pay attention here. If  you  ask  why  there  is  no  smallest  element  of  A,   The  smallest 
00:21:14		 eleman ya vardır ve bir tanedir ya da yoktur burada F ve G elemanları   		element either exists and is one, or it does  not  exist.  Since  F  and  G  elements 
00:21:22		 karşılaştırılamadığı için anın en küçük elemanı yok benzer şekilde B kümesi için   		cannot be compared, there  is  no  smallest  element  of  the  moment.  Similarly, 
00:21:27		 baktığımızda B'nin maksimal elemanı A B'nin minimal elemanı bakın max'lar ve   		when we look at the set B, B's maximal element is A. B 's  minimal  element.  See  maxes  and 
00:21:34		 minimaller birden fazla olabilir minimaller bce yine B'nin en büyük   		minimals, there can be more than one minimal.   bce  again,  the  largest  element  of  B  is 
00:21:39		 elemanı A ama B'nin en küçük elemanı burada b c e elemanları   		A, but the smallest element of B is 
00:21:46		 karşılaştırılamadığı için yok demek ki şunu artık söyleyebiliriz Eğer bir küme   		not here because the b, c and e elements cannot be compared, so we  can  now  say  that  if 
00:21:54		 üzerinde sıralama bağıntısı tarif edildiği ise   		the  order  relation  is  defined  on  a  set, 
00:21:57		 yani o kuma kısmi sıralı bir küme ise maksimal eleman ya da minimal eleman var   		that is, if that set is a partially ordered set, there will be a maximal  element  or  a  minimal  element.   There  is 
00:22:05		 ve birden fazla olabilir ama en büyük eleman ya da en küçük eleman ya bir   		and there may be more than one, but the largest element  or  the  smallest  element 
00:22:11		 tanedir ya da yoktur Lütfen buna dikkat ediniz   		is either one or it does not exist. Please pay attention to this, 
00:22:17		 şimdi yine bir tanım vereceğiz size a1ksk olsun Eğer A'nın boştan farklı her   		now we will give you a definition again, let it  be  a1ksk.  If  every  non-empty  subset  of  A 
00:22:26		 alt kümesi bir en küçük elemana sahipse biz bu A virgül küçük eşit ikilisine iyi   		has a smallest element, we  use  this  A  comma   We  call  the  less  than  equal  pair  a  well- 
00:22:33		 sıralı küme diyoruz Arkadaşlar bu tanımı Cebir dersinde çokça kullanacağız bakın   		ordered set. Friends, we  will  use  this  definition  a  lot  in  Algebra  class.  Look, 
00:22:39		 birçok teoremin ispatında bu kullanılacak Aman dikkat   		it  will  be  used  in  the  proof  of  many  theorems.  Pay  attention.  If 
00:22:47		 A'nın yani kaseye sahip A'nın her alt kümesi bir en küçük elemana sahipse biz   		every subset of A, that is, A with a bowl, has  a  smallest  element,  we 
00:22:54		 buna iyi sıralı küme adını veriyoruz ve en çok kullanacağımız küme de Z artı   		call it a well-ordered set and it will be the one we  will  use  the  most.   The  set  is  also  Z  plus, 
00:23:00		 biliyorsunuz pozitif tam sayılar alttan sıralıdır dolayısıyla her alt kümesini   		as you know, positive integers are ordered from the bottom, so 
00:23:05		 aldığınızda bunun bir en küçük elemanı vardır O halde   		when you take each subset of it, it has a smallest element. So, 
00:23:10		 pozitif tam sayılar iyi sıralı bir küme ne olur Bakın bu tanımı lütfen unutmayın   		what  would  be  a  well-ordered  set  of  positive  integers?  Look,  please  remember  this  definition. 
00:23:15		 Bu tanımı çok kullanacağız kısmi sıralı bir kümede eğer her alt kümesi bir en   		We will use this definition a lot. In  a  partially  ordered  set,  if  each  subset  is  a  well-ordered  set, 
00:23:21		 küçük elemana sahipse biz bu naiyi sıralı küme adını veriyoruz Bir de ne   		If it has the smallest element, we call  it  an  ordered  set.  Also, 
00:23:26		 olur arkadaşlar en küçük eleman tekti en büyük eleman da tekti buna dikkat edin   		please, friends, the smallest element was odd and the largest  element  was  odd.  Pay  attention  to  this. 
00:23:31		 Şimdi burada bir örnek verelim a kümesi 2 3 4 5 6 7 8 9 diye gidiyor a kümesinde   		Now, let's give an example here: set a goes  like  2  3  4  5  6  7  8  9, 
00:23:38		 bölünebilme bağlantısına göre maka 6-7-8-9-10 ve Mina 2 3 5 7'dir Şimdi   		according to the divisibility connection in set a.  maka is 6-7-8-9-10  and  Mina  is  2  3  5  7.  Now 
00:23:47		 burada niye bunlar böyle oldu Bakın ben size yine bunu oklarla göstereyim   		why did these happen like this? Look, let me show  you  this  again  with  arrows, 
00:23:52		 arkadaşlar bakın 2'nin alt böleni yok üçün de alt böleni yok 5'in de alt   		friends, look, there is no subdivisor of 2, there is no  subdivisor  of  3,  and  there  is  a  subdivisor  of  5.   There  is 
00:24:00		 böleni yok 7'nin de alt böleni yok O halde Dolayısıyla bu şöyle olacak o küme   		no subdivider of 7. Therefore,  this  set  will  be  like  this. 
00:24:05		 2 3 5 ve 7 yazarsak bunlar aşağıda şimdi 2'nin üzerinde Kimler var bakın ikinin   		If we write 2, 3, 5 and 7, they are below now. Look  who  is  above  2.  Let  me 
00:24:14		 Üzerinde şöyle yapayım 4 var 4'ün üzerinde 8 var şimdi 3'ün üzerinde kim   		do this above two. There is 4. There is  8  above  4.  Now  who  is  above  3? 
00:24:22		 var 3'ün üzerinde 6 var altının üzerinde de 9 var şimdi 5'in üzerinde kim var Onu   		There is a 6 above 3, there is  a  9  above  six,  now  who  is  above  5,  let 
00:24:30		 da şuraya yazayım 10 var bakın 5'in üzerinde Dolayısıyla şimdi 2'nin   		me write that here, there is a 10, look, it is above  5.  So  now  there  is  a  6 
00:24:34		 üzerinde bir de ayrıca şu da var başka Ne kaldı 7'nin Üzerinde hiç kimse yok   		above 2, and there is also this one. What  is  left?  Nothing  above  7.   There  is  no  one. 
00:24:39		 şimdi buraya baktığınızda bakın 7 boşta kaldı zaten 8'in üzerinde de kimse yok   		Now when you look here, 7 is left  empty  anyway.  There  is  no  one  above  8. 
00:24:45		 şimdi mak ağaya baktığınızda bakın Pardon altının üzerinde 9'da yoktu üçün   		Now, when you look at mak aga, look at 
00:24:52		 üzerinde 9 var Şunu şuradan silivereyim ben   		it. Sorry, there was no 9 on the six, there is a 9 on the three. Let me delete it from here. It's 
00:24:56		 şöyle bir şey Ha şimdi baktığınızda 18 6 9 7 mak a yani A'nın Maksim al   		something like this. When you look at it now, 18  6  9  7  mak  a.   Maximum  element  of  A. 
00:25:05		 elemanı Dolayısıyla aşağıda Kalanlar 2 3 5 ve 7'de min A'ya eşittir Şimdi burada   		Therefore, below, Remainder is equal  to  min  A  in  2,  3,  5  and  7.  Now  here 
00:25:12		 şunu söyleyebilirsiniz ya Siz bunu böyle yaptığınızda Bu nasıl kısmi sıralama   		you can say: When you do it like this, how  will  this  be  a  partial  order 
00:25:18		 bağlantısı olacak arkadaşlar bunu aynı biraz evvel tarif ettiğimiz gibi şu   		connection, friends, you can 
00:25:22		 şekilde tarif edebilirsiniz x küçük eşit ye gerek ve yeter şart x eşit y veya x   		describe it like this, just like we just described, x is small  equal to ye  necessary  and  sufficient  condition 
00:25:37		 4,4 bunlar var Ayrıca 2,10 2,4 2,8,4,8 Bunlar da var gibi ve bunlar   		8  These  seem  to  exist  as  well  and  they 
00:25:44		 burada kısmi sıralama bağıntısını sağlıyorlar Dolayısıyla burada Max ve   		provide  the  partial  order  relation  here.  Therefore, 
00:25:50		 min eleman var ama ne yazık ki bu kümede ne Ebe var ne de Eke var yani ne en   		there are Max and min elements here, but unfortunately there is neither  Ebe  nor  Eke  in  this  set,  that  is,  there 
00:25:57		 büyük eleman ne de en küçük eleman yok Ona da lütfen dikkat ediniz şimdi bu   		is neither the largest element nor the smallest element. Please  pay  attention  to  this  now. 
00:26:03		 şartlar altında bu kısmı sıralama bağıntılarını bu şekilde tarif ettik   		Under the conditions, we have described this part of the order relations  in  this  way. 
00:26:08		 Şimdi ben sizlere Buradan bir tane örnek vermek istiyorum Bu bağıntılarla ilgili   		Now, I want to give you an example from here. 
00:26:14		 elimde varsa hemen bir bakayım Size bir tane örnek gösterelim burada   		If I have any of these relations, let me see it right away. Let's  show  you  an  example  here. 
00:26:23		 Şimdi arkadaşlar yine Siz şeyde gördünüz soyut matematik dersinde gördüğünüz   		Now, friends, let 
00:26:34		 Ben şeyini yazayım 30 sayısının tüm pozitif bölenleri kümesinin bölme işlemi   		me write down the I thing that you saw in the abstract mathematics class. 
00:26:45		 diyor soru Şimdi burada latis ne demek önce hemen şunu söyleyelim a üzerinde   		The question asks: Show that the set of divisors is a lattice that is completed according to the ordering relation defined by the division operation. Now, what does the lattice mean here? First,  let's  say  this:  there 
00:26:51		 bir kısmi sıralama bağıntısı olacak ve bu a kümesi üzerinde alınan kısmı için   		will be a partial ordering relation on a, and this  will  be  the  supremum  and  infum  of  the  two  elements  on  the  set  a,  for  which 
00:26:57		 keyfi aldığımız iki elemanın supremum'u ve infumunu olacak şimdi Ben önce 30'un   		we take pleasure for the part taken. Now  let  me  first 
00:27:04		 pozitif bölenlerini bir yazayım size onu a kümesi olarak alalım a kümesi eşittir   		write down the positive divisors of 30. Let's take  it  as  a  set  a.  The  set  a  is  equal  to  the 
00:27:09		 30'un pozitif bölenleri 1 2 3 böler 4 bölmez 5 böler 6 böler 7 bölmez 8 10   		positive divisors of 30: 1 2 3 divides 4 does  not  divide  5  divides  6  divides  7  does  not  divide  8  10 
00:27:19		 böler 15 böler Bir de 30 böler Yanlış mı yaptım Dur bakalım 1 2 3 4 5 6 7 8 tane   		divides 15 divides Also 30 divides 30 Divises Wait,  did  I  make  a  mistake?   1  2  3  4  5  6  7  8 
00:27:27		 doğru 30 2 x 3 x 5 2 4 8 doğru o kadar böleni var şimdi nasıl tarif edeceğiz a   		correct 30 2 x 3  Since 
00:27:41		 bağlantısı niye olduğunu söyleyeyim Arkadaşlar her A sayısı kendini böldüğü   		every  number  A  divides  itself,  the 
00:27:47		 için yansıma özelliği gerçekleşir bakın a B'yi bölüyorsa B a'yı bölmez eşitlik   		reflection property is realized. Look, if a  divides  B,  B  does  not  divide  a, 
00:27:54		 hariç Dolayısıyla ters simetri gerçekleşir a B'yi bölüyor B'de C'yi   		except for equality. Therefore, reverse symmetry occurs.  If  a  divides  B,  a 
00:28:00		 bölüyorsa a C'yi böler Dolayısıyla geçişme de sağlanır O halde bu bir   		divides C. Therefore, crossover  is  also  achieved.  Then  this 
00:28:04		 kısmıyı sıralama bağıntısıdır Şimdi burada   		It is a partial order relation. Now 
00:28:08		 Supreme ve infum olarak neyi alacağım biliyorsunuz Sizler yine soyut matematik   		you  know  what  I  will  take  here  as  Supreme  and  infum.  We  showed  it  again  in  abstract  mathematics 
00:28:12		 dersinde gösterdik a veya B ile gösterdik sup a virgül B'yi Bu da ne   		class with a or B, sup  a  comma  B.  What  is  this? 
00:28:27		 da eşittir inf a virgül b o da eşittir ebob   		equals inf a comma b o equals ebob 
00:28:34		 a,b olarak tarif edelim şimdi Bir daha söyleyeyim eğer ben keyfi aldığım iki   		a, b Now let's  say  it  again,  if  I  can  say  that  the 
00:28:40		 elemanın suplarının yine A'ya ait olduğunu ve ınterinin de A'ya ait   		sups of the two elements I enjoy also belong to A and  the  inter  belongs  to  A. 
00:28:45		 olduğunu söyleyebilirsem Dolayısıyla problem bitmiş olacak Burada bakın bunu   		Therefore, the  problem  will  be  over.  Look  here, 
00:28:49		 alırsanız çok rahatlıkla görürsünüz Şimdi ne olacak tamlanmış latis neye   		if you get this, it will be very easy.  You will see what  will  happen  now.  What  do 
00:28:56		 diyoruz şimdi tamlanmış latis lafı Siz yine soyut matematik dersinde gördünüz   		we call the completed lattice? Now the word 'completed lattice'. You saw  it  again  in  the  abstract  mathematics  course. 
00:29:06		 göstermiştik O halde bu kümede 0 elemanı olarak biri ve bir elemanı olarak 30'u   		We denoted its smallest element with zero, and its largest element with 1. So, if we take one as the 0 element in this set and  30  as  the  other  element, 
00:29:13		 alırsak ki Öyle de zaten en küçüğü en büyüğü O şimdi şöyle söylenmişti Burada   		That's right, the smallest one is the largest  one.  It  has  now  been  said  like  this.  Here  and 
00:29:19		 burada A ve A üssü eşittir 1 A veya a üssü eşittir 30 olacak Şimdi arkadaşlar   		there, A and A prime are equal to 1 A or a prime  is  equal  to  30.  Now,  friends, 
00:29:28		 hemen Buradan Bakın bakalım şimdi ben bir tane alayım size a elemanı mesela   		right from here. Look, let me get  one  for  you.  For  example, 
00:30:19		 [Müzik]   		[Music] the 
00:30:36		 en küçük ve en büyük elemanlarına dikkate aldığınızda bunların subları   		smallest and largest elements. When  you  take  into  consideration,  their  subs 
00:30:41		 İşte en büyüğüne 30'a intleri de bire eşit olmuş olacak şimdi burada bir örnek   		will  be  equal  to  30  and  their  ints  will  be  equal  to  one.  Now,  to  give  another  example  here,  let 
00:30:47		 daha vermek gerekirse Onu da ben size şu şekilde tarif edeyim onu siz kendiniz   		me describe it to you like this. 
00:30:52		 bakarsanız R bağlantısı şu şekilde tarif ediliyor   		If you look at it yourself, the R connection is described as follows: 
00:30:57		 a,bler Öyle ki a virgül B eleman   		a,bler So that a  comma  B  is  the  element 
00:31:04		 q ve a - b eleman Z şeklinde tarif ediliyor   		qand a  -  b  element  are  described  as  Z 
00:31:10		 ve soru şu R q üzerinde bir denklik   		and the question is 
00:31:18		 bağıntısı mıdır   		whether R is an equivalence relation on q or 
00:31:22		 bağıntısı mıdır Şimdi hemen şunu söyleyeyim Evet bu re üzerinde R q   		not. Now let me tell you this right away Yes,  this 
00:31:28		 üzerinde bir denklik bağlantısıdır Ben ufacık ufacık Şunları da size söylemiş   		is an equivalence relation on R q on R. I am just  a  tiny  little  bit.  Let  me  tell  you  these,  let  me 
00:31:33		 olayım hemen kısacık geçeyim onu siz kendiniz yaparsanız bakın her a eleman q   		briefly explain it to you yourself.   If  you  do,  look,  for  every  a  element  q, 
00:31:38		 için a eksi A eşittir 0 Z'nin elemanı olduğu için demek ki yansıma özelliği   		a minus A is equal to 0. Since  it  is  an  element  of  Z,  the  reflection  property 
00:31:44		 sağlanır şimdi dikkat   		is provided. Now, attention, the 
00:32:41		 eleman R olur dolayısıyla da bu da r'de q üzerinde bir denklik bağlantısı olmuş   		element becomes R, so this creates  an  equivalence  connection  on  q  in  r. 
00:32:51		 olur Bugünlük bu kadar Arkadaşlar teşekkür   		That's  all  for  today,  friends,  thank 
00:32:55		 ederim  		you.  
